all_gap_point_count,layer,matched_gap_all_solver_success_percent,matched_gap_qualified_reference_percent,mean_corrected_segments,network_hds_acceptance_rate_percent,problem,qualified_gap_point_count,seed,selected_points
43,far_ood_10_20pct,1.7459145786179713,1.7459145786179713,0.68,86.0,vdp,43,20260797,50
49,near_ood_0_10pct,0.3233222743704065,0.3233222743704065,0.48,98.0,vdp,49,20260798,50
40,far_ood_10_20pct,2.0894236397602346,2.0894236397602346,0.82,80.0,vdp,40,20260798,50
49,near_ood_0_10pct,0.31067099870241555,0.31067099870241555,0.6,98.0,vdp,49,20260799,50
41,far_ood_10_20pct,1.8021729148226275,1.8021729148226275,0.86,82.0,vdp,41,20260799,50
50,near_ood_0_10pct,0.3819979825426502,0.3819979825426502,0.26,100.0,vdp,50,20260800,50
45,far_ood_10_20pct,2.0779703762594703,2.0779703762594703,0.84,90.0,vdp,45,20260800,50
50,near_ood_0_10pct,1.7399297122899477,1.7399297122899477,3.0,100.0,penicillin,50,20260771,50
50,far_ood_10_20pct,4.7031245988072525,4.7031245988072525,3.0,100.0,penicillin,50,20260771,50
50,near_ood_0_10pct,1.5760218859746207,1.5760218859746207,2.94,100.0,penicillin,50,20260772,50
50,far_ood_10_20pct,5.244300755696504,5.244300755696504,3.0,100.0,penicillin,50,20260772,50
50,near_ood_0_10pct,1.5068665596811512,1.5068665596811512,2.94,100.0,penicillin,50,20260773,50
50,far_ood_10_20pct,4.93238426206022,4.93238426206022,3.0,100.0,penicillin,50,20260773,50
50,near_ood_0_10pct,1.3572766536550689,1.3572766536550689,2.9,100.0,penicillin,50,20260774,50
50,far_ood_10_20pct,4.228049781300905,4.228049781300905,3.0,100.0,penicillin,50,20260774,50
50,near_ood_0_10pct,0.9069876590177353,0.9069876590177353,2.96,100.0,penicillin,50,20260775,50
50,far_ood_10_20pct,2.8605087769990876,2.8605087769990876,3.0,100.0,penicillin,50,20260775,50
50,near_ood_0_10pct,1.3746976659228267,1.3746976659228267,2.88,100.0,penicillin,50,20260776,50
50,far_ood_10_20pct,3.9383051449096467,3.9383051449096467,3.0,100.0,penicillin,50,20260776,50
50,near_ood_0_10pct,1.5933333467992836,1.5933333467992836,2.94,100.0,penicillin,50,20260777,50
50,far_ood_10_20pct,5.055800282358893,5.055800282358893,3.0,100.0,penicillin,50,20260777,50
50,near_ood_0_10pct,1.3822754416309848,1.3822754416309848,3.0,100.0,penicillin,50,20260778,50
50,far_ood_10_20pct,4.661702409564615,4.661702409564615,3.0,100.0,penicillin,50,20260778,50
50,near_ood_0_10pct,1.6329069644458403,1.6329069644458403,3.0,100.0,penicillin,50,20260779,50
50,far_ood_10_20pct,4.884954883811224,4.884954883811224,3.0,100.0,penicillin,50,20260779,50
50,near_ood_0_10pct,1.0840866035654328,1.0840866035654328,2.9,100.0,penicillin,50,20260780,50
50,far_ood_10_20pct,4.115322497471791,4.115322497471791,3.04,100.0,penicillin,50,20260780,50
50,near_ood_0_10pct,1.1499694889461083,1.1499694889461083,3.0,100.0,penicillin,50,20260781,50
50,far_ood_10_20pct,3.5805014049493735,3.5805014049493735,3.0,100.0,penicillin,50,20260781,50
50,near_ood_0_10pct,1.0498302510161581,1.0498302510161581,3.0,100.0,penicillin,50,20260782,50
50,far_ood_10_20pct,3.4499066106576497,3.4499066106576497,3.0,100.0,penicillin,50,20260782,50
50,near_ood_0_10pct,1.4190046124797542,1.4190046124797542,3.0,100.0,penicillin,50,20260783,50
50,far_ood_10_20pct,4.090845662453572,4.090845662453572,3.0,100.0,penicillin,50,20260783,50
50,near_ood_0_10pct,1.1120945954602954,1.1120945954602954,3.0,100.0,penicillin,50,20260784,50
50,far_ood_10_20pct,3.7110864059459088,3.7110864059459088,3.0,100.0,penicillin,50,20260784,50
50,near_ood_0_10pct,1.360944678636084,1.360944678636084,2.96,100.0,penicillin,50,20260785,50
50,far_ood_10_20pct,4.308750924102383,4.308750924102383,3.0,100.0,penicillin,50,20260785,50
50,near_ood_0_10pct,1.1824946674226309,1.1824946674226309,2.9,100.0,penicillin,50,20260786,50
50,far_ood_10_20pct,4.1899612157924455,4.1899612157924455,3.0,100.0,penicillin,50,20260786,50
50,near_ood_0_10pct,1.5560872775615806,1.5560872775615806,3.0,100.0,penicillin,50,20260787,50
50,far_ood_10_20pct,4.563614183159401,4.563614183159401,3.0,100.0,penicillin,50,20260787,50
