accepted,benchmark,branch,fallback,final_max_g,hds_gap_percent,hds_gap_qualified286_percent,mean_corrected_segments,mean_hds_objective_change,mean_hds_seconds,mean_inference_seconds,mean_total_seconds,method,nominal_gap_percent,nominal_violation_rate_percent,post_hds_violation_rate_percent,qualified_reference_samples,samples,seed,source_checkpoint,source_metadata_rows
400,vdp,S-u,0,-5.808509715821142e-06,0.4604925050815999,,0.55,0.013389790308903506,0.0087981695000326,5.263499997454348e-06,0.008803433000030052,supervised,0.02765607807566091,55.00000000000001,0.0,,400,20260771,C:\Users\admin\Desktop\深度学习+CBF\kkt_collocation\results\multiseed10_vdp_k10_cuda_20260803_v1\supervised\vdp\seed20260771\S-u.pth,C:\Users\admin\Desktop\深度学习+CBF\kkt_collocation\results\multiseed30_vdp_k10_refined_lambda_cached_margin1e6_20260804_v1\supervised\vdp\seed20260771\test_per_sample_S-u.csv
400,vdp,S-u,0,-2.0734698831237353e-06,0.5383426888203069,,0.6325,0.01627104668217626,0.008741296250118467,1.1755499999708263e-05,0.008753051750118175,supervised,0.01741749218212299,62.5,0.0,,400,20260772,C:\Users\admin\Desktop\深度学习+CBF\kkt_collocation\results\multiseed10_vdp_k10_cuda_20260803_v1\supervised\vdp\seed20260772\S-u.pth,C:\Users\admin\Desktop\深度学习+CBF\kkt_collocation\results\multiseed30_vdp_k10_refined_lambda_cached_margin1e6_20260804_v1\supervised\vdp\seed20260772\test_per_sample_S-u.csv
400,vdp,S-u,0,-2.341044155751426e-06,0.3908459839674328,,0.5525,0.01157267439705962,0.008727464500043424,6.124749997979964e-06,0.008733589250041402,supervised,0.01383920164098638,54.50000000000001,0.0,,400,20260773,C:\Users\admin\Desktop\深度学习+CBF\kkt_collocation\results\multiseed10_vdp_k10_cuda_20260803_v1\supervised\vdp\seed20260773\S-u.pth,C:\Users\admin\Desktop\深度学习+CBF\kkt_collocation\results\multiseed30_vdp_k10_refined_lambda_cached_margin1e6_20260804_v1\supervised\vdp\seed20260773\test_per_sample_S-u.csv
400,vdp,S-u,0,-1.4682312958202992e-06,0.3935925596679238,,0.5825,0.011924859010242867,0.0088406169999962,5.969750000076601e-06,0.008846586749996277,supervised,0.010609109231705945,58.25,0.0,,400,20260774,C:\Users\admin\Desktop\深度学习+CBF\kkt_collocation\results\multiseed10_vdp_k10_cuda_20260803_v1\supervised\vdp\seed20260774\S-u.pth,C:\Users\admin\Desktop\深度学习+CBF\kkt_collocation\results\multiseed30_vdp_k10_refined_lambda_cached_margin1e6_20260804_v1\supervised\vdp\seed20260774\test_per_sample_S-u.csv
400,vdp,S-u,0,-1.7566029543725215e-06,0.39592557120024624,,0.5575,0.012163963351527852,0.008701469750049,6.4230000043608e-06,0.008707892750053361,supervised,0.007886404821031328,55.50000000000001,0.0,,400,20260775,C:\Users\admin\Desktop\深度学习+CBF\kkt_collocation\results\multiseed10_vdp_k10_cuda_20260803_v1\supervised\vdp\seed20260775\S-u.pth,C:\Users\admin\Desktop\深度学习+CBF\kkt_collocation\results\multiseed30_vdp_k10_refined_lambda_cached_margin1e6_20260804_v1\supervised\vdp\seed20260775\test_per_sample_S-u.csv
400,vdp,S-u,0,-3.0910675981044022e-06,0.49617266837311097,,0.6775,0.015545122548918324,0.009161669500035713,5.281749999994645e-06,0.009166951250035709,supervised,0.005287086263040814,67.5,0.0,,400,20260776,C:\Users\admin\Desktop\深度学习+CBF\kkt_collocation\results\multiseed10_vdp_k10_cuda_20260803_v1\supervised\vdp\seed20260776\S-u.pth,C:\Users\admin\Desktop\深度学习+CBF\kkt_collocation\results\multiseed30_vdp_k10_refined_lambda_cached_margin1e6_20260804_v1\supervised\vdp\seed20260776\test_per_sample_S-u.csv
400,vdp,S-u,0,-4.205120873679302e-06,0.34236189158431946,,0.51,0.009989423086701156,0.008507042749970424,6.598250001843552e-06,0.008513640999972268,supervised,0.016297326648072943,50.0,0.0,,400,20260777,C:\Users\admin\Desktop\深度学习+CBF\kkt_collocation\results\multiseed10_vdp_k10_cuda_20260803_v1\supervised\vdp\seed20260777\S-u.pth,C:\Users\admin\Desktop\深度学习+CBF\kkt_collocation\results\multiseed30_vdp_k10_refined_lambda_cached_margin1e6_20260804_v1\supervised\vdp\seed20260777\test_per_sample_S-u.csv
400,vdp,S-u,0,-3.1408245322883666e-06,0.40424857376076373,,0.5975,0.012487945501268288,0.008700876499970036,5.133000004207132e-06,0.008706009499974245,supervised,0.006534524118567996,59.0,0.0,,400,20260778,C:\Users\admin\Desktop\深度学习+CBF\kkt_collocation\results\multiseed10_vdp_k10_cuda_20260803_v1\supervised\vdp\seed20260778\S-u.pth,C:\Users\admin\Desktop\深度学习+CBF\kkt_collocation\results\multiseed30_vdp_k10_refined_lambda_cached_margin1e6_20260804_v1\supervised\vdp\seed20260778\test_per_sample_S-u.csv
400,vdp,S-u,0,-1.7204676254767293e-06,0.4228337413687495,,0.605,0.013075258331259904,0.008435214499968424,3.345249997437351e-06,0.008438559749965864,supervised,0.004260783217377584,60.5,0.0,,400,20260779,C:\Users\admin\Desktop\深度学习+CBF\kkt_collocation\results\multiseed10_vdp_k10_cuda_20260803_v1\supervised\vdp\seed20260779\S-u.pth,C:\Users\admin\Desktop\深度学习+CBF\kkt_collocation\results\multiseed30_vdp_k10_refined_lambda_cached_margin1e6_20260804_v1\supervised\vdp\seed20260779\test_per_sample_S-u.csv
400,vdp,S-u,0,-4.656398552405072e-06,0.4637131862330682,,0.6075,0.014241185786471964,0.008698473499971443,3.1360000048152863e-06,0.008701609499976257,supervised,0.01308581246740548,60.25,0.0,,400,20260780,C:\Users\admin\Desktop\深度学习+CBF\kkt_collocation\results\multiseed10_vdp_k10_cuda_20260803_v1\supervised\vdp\seed20260780\S-u.pth,C:\Users\admin\Desktop\深度学习+CBF\kkt_collocation\results\multiseed30_vdp_k10_refined_lambda_cached_margin1e6_20260804_v1\supervised\vdp\seed20260780\test_per_sample_S-u.csv
